"DATEOFDATA"	"SOURCESYSTEM"	"ACCOUNTID"	"COLLATERALID"	"SECURITYCODE"	"SECURITYVALUE"	"VALUATIONDATE"	"SECURITYCHARGESTATUS"	"VALUATIONEXPIRYDATE"	"CUSTOMERID"	"CARATVALUE"	"GOLDWEIGHTNETGMS"	"SECURITY_ID"	"CHARGE_TYPE_CODE"	"VALUATION_SOURCE"	"COLLATERAL_TYPE"
"2024-06-02"	"MIFIN"	"RB00026070"	""	""	28287.36	""	""	""	"AP00008860"	20	5.76	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025008"	""	""	113866.56	""	""	""	"AP00008564"	21	22.08	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024976"	""	""	7890.21	""	""	""	"AP00008538"	21	1.53	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024816"	""	""	185833.58	""	""	""	"AP00008402"	22	34.42	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025094"	""	""	4195.8	""	""	""	"AP00008385"	19	0.9	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026229"	""	""	134975	""	""	""	"AP00008149"	22	25	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025199"	""	""	217950.2	""	""	""	"AP00008723"	18	49.31	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025172"	""	""	44163.82	""	""	""	"AP00008701"	22	8.18	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024859"	""	""	1058204	""	""	""	"AP00008438"	22	196	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024695"	""	""	19545.78	""	""	""	"AP00008309"	20	3.98	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025307"	""	""	45081.65	""	""	""	"AP00008814"	22	8.35	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025240"	""	""	62399.7	""	""	""	"AP00008756"	21	12.1	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025201"	""	""	33238.4	""	""	""	"AP00008723"	18	7.52	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024877"	""	""	145233.1	""	""	""	"AP00008451"	22	26.9	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025343"	""	""	33640.35	""	""	""	"AP00008844"	20	6.85	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025266"	""	""	90018.63	""	""	""	"AP00008780"	20	18.33	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025071"	""	""	25807.22	""	""	""	"AP00008616"	22	4.78	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025435"	""	""	16197	""	""	""	"AP00008922"	22	3	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024862"	""	""	28074.8	""	""	""	"AP00008440"	22	5.2	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025488"	""	""	62088.5	""	""	""	"AP00008962"	22	11.5	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024744"	""	""	88398	""	""	""	"AP00008345"	20	18	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025007"	""	""	24505.89	""	""	""	"AP00008444"	20	4.99	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025499"	""	""	1067382.3	""	""	""	"AP00008969"	22	197.7	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025219"	""	""	17762.71	""	""	""	"AP00008739"	22	3.29	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025425"	""	""	25375.3	""	""	""	"AP00008518"	22	4.7	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024829"	""	""	86060.06	""	""	""	"AP00008413"	22	15.94	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025675"	""	""	109844.1	""	""	""	"AP00008708"	21	21.3	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025504"	""	""	68066.46	""	""	""	"AP00008354"	20	13.86	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024774"	""	""	82064.8	""	""	""	"AP00008365"	22	15.2	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025596"	""	""	662935.89	""	""	""	"AP00009051"	20	134.99	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025692"	""	""	163373.74	""	""	""	"AP00009132"	22	30.26	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025175"	""	""	44199	""	""	""	"AP00008704"	20	9	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025634"	""	""	74344.23	""	""	""	"AP00009085"	22	13.77	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024855"	""	""	107980	""	""	""	"AP00008436"	22	20	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024810"	""	""	19436.4	""	""	""	"AP00008396"	22	3.6	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026119"	""	""	8299.59	""	""	""	"AP00008278"	20	1.69	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025117"	""	""	628443.6	""	""	""	"AP00008657"	22	116.4	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024954"	""	""	118778	""	""	""	"AP00008519"	22	22	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025526"	""	""	224490.42	""	""	""	"AP00008352"	22	41.58	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026416"	""	""	94291.2	""	""	""	"AP00008227"	20	19.2	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024763"	""	""	20732.16	""	""	""	"AP00008357"	22	3.84	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024598"	""	""	68754	""	""	""	"AP00008234"	20	14	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025379"	""	""	48618.9	""	""	""	"AP00008876"	20	9.9	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025388"	""	""	28974.9	""	""	""	"AP00008884"	20	5.9	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026102"	""	""	10387	""	""	""	"AP00009471"	18	2.35	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025135"	""	""	60405.3	""	""	""	"AP00008606"	20	12.3	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025443"	""	""	25213.33	""	""	""	"AP00008232"	22	4.67	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025024"	""	""	10262.43	""	""	""	"AP00008577"	21	1.99	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025139"	""	""	52910.2	""	""	""	"AP00008674"	22	9.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025403"	""	""	42436.14	""	""	""	"AP00008386"	22	7.86	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024876"	""	""	20135.1	""	""	""	"AP00008450"	20	4.1	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024768"	""	""	15873.06	""	""	""	"AP00008361"	22	2.94	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025756"	""	""	224760.37	""	""	""	"AP00008176"	22	41.63	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025348"	""	""	70227.3	""	""	""	"AP00008848"	20	14.3	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026115"	""	""	52856.21	""	""	""	"AP00008335"	22	9.79	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025416"	""	""	112680.45	""	""	""	"AP00008908"	21	21.85	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024856"	""	""	218656.8	""	""	""	"AP00008437"	21	42.4	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024885"	""	""	307743	""	""	""	"AP00008458"	22	57	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024928"	""	""	41032.4	""	""	""	"AP00008496"	22	7.6	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024966"	""	""	37523.05	""	""	""	"AP00008528"	22	6.95	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025367"	""	""	24848.46	""	""	""	"AP00008864"	19	5.33	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025065"	""	""	10804.2	""	""	""	"AP00008611"	20	2.2	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024976"	""	""	22513.83	""	""	""	"AP00008538"	22	4.17	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024938"	""	""	36685.17	""	""	""	"AP00008505"	20	7.47	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025094"	""	""	20979	""	""	""	"AP00008385"	19	4.5	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026012"	""	""	9674.67	""	""	""	"AP00008166"	20	1.97	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025199"	""	""	157704.79	""	""	""	"AP00008723"	22	29.21	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025274"	""	""	30828.29	""	""	""	"AP00008786"	22	5.71	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024918"	""	""	83792.48	""	""	""	"AP00008488"	22	15.52	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024826"	""	""	511825.2	""	""	""	"AP00008411"	22	94.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025307"	""	""	79203.33	""	""	""	"AP00008814"	22	14.67	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025501"	""	""	45123.75	""	""	""	"AP00008971"	21	8.75	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025201"	""	""	40929.2	""	""	""	"AP00008723"	18	9.26	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024897"	""	""	52424.29	""	""	""	"AP00008469"	22	9.71	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025343"	""	""	37569.15	""	""	""	"AP00008844"	20	7.65	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025266"	""	""	124297.41	""	""	""	"AP00008780"	20	25.31	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025217"	""	""	56181.84	""	""	""	"AP00008738"	20	11.44	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025482"	""	""	50538.6	""	""	""	"AP00008956"	21	9.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024862"	""	""	172228.1	""	""	""	"AP00008440"	22	31.9	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025488"	""	""	133895.2	""	""	""	"AP00008962"	22	24.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024822"	""	""	22175.1	""	""	""	"AP00008407"	21	4.3	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025007"	""	""	27501.6	""	""	""	"AP00008444"	20	5.6	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025499"	""	""	1130550.6	""	""	""	"AP00008969"	22	209.4	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025219"	""	""	112029.25	""	""	""	"AP00008739"	22	20.75	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025286"	""	""	13821.44	""	""	""	"AP00008797"	22	2.56	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024832"	""	""	177287.1	""	""	""	"AP00008416"	20	36.1	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025299"	""	""	10959.97	""	""	""	"AP00008808"	22	2.03	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025504"	""	""	113299.29	""	""	""	"AP00008354"	21	21.97	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024820"	""	""	33150	""	""	""	"AP00008406"	18	7.5	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025596"	""	""	214880.2	""	""	""	"AP00009051"	22	39.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025898"	""	""	11283.91	""	""	""	"AP00009302"	22	2.09	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025258"	""	""	107980	""	""	""	"AP00008772"	22	20	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025783"	""	""	226758	""	""	""	"AP00009206"	22	42	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025229"	""	""	46261.62	""	""	""	"AP00008746"	20	9.42	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024810"	""	""	26995	""	""	""	"AP00008396"	22	5	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026119"	""	""	16157.19	""	""	""	"AP00008278"	20	3.29	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025186"	""	""	65111.94	""	""	""	"AP00008713"	22	12.06	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025860"	""	""	59389	""	""	""	"AP00008519"	22	11	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025526"	""	""	229835.43	""	""	""	"AP00008352"	22	42.57	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024890"	""	""	302321.16	""	""	""	"AP00008463"	20	61.56	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024763"	""	""	24187.52	""	""	""	"AP00008357"	22	4.48	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024831"	""	""	16197	""	""	""	"AP00008415"	22	3	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025379"	""	""	26995	""	""	""	"AP00008876"	22	5	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025388"	""	""	16143.01	""	""	""	"AP00008884"	22	2.99	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026102"	""	""	28729.35	""	""	""	"AP00009471"	20	5.85	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025135"	""	""	26995	""	""	""	"AP00008606"	22	5	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024686"	""	""	25488.09	""	""	""	"AP00008302"	20	5.19	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025024"	""	""	33417.36	""	""	""	"AP00008577"	21	6.48	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025305"	""	""	51879.42	""	""	""	"AP00008813"	21	10.06	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025303"	""	""	93706.2	""	""	""	"AP00008811"	19	20.1	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024876"	""	""	260774.1	""	""	""	"AP00008450"	20	53.1	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024768"	""	""	26455.1	""	""	""	"AP00008361"	22	4.9	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024740"	""	""	67757.45	""	""	""	"AP00008239"	22	12.55	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025348"	""	""	112680.45	""	""	""	"AP00008848"	21	21.85	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024946"	""	""	52302.15	""	""	""	"AP00008511"	20	10.65	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025474"	""	""	39906.72	""	""	""	"AP00008948"	19	8.56	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024856"	""	""	362021.4	""	""	""	"AP00008437"	21	70.2	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024923"	""	""	98477.76	""	""	""	"AP00008491"	22	18.24	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025097"	""	""	13996.35	""	""	""	"AP00008637"	20	2.85	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024995"	""	""	106617.81	""	""	""	"AP00008555"	20	21.71	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025367"	""	""	111133.35	""	""	""	"AP00008864"	21	21.55	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025065"	""	""	21117.3	""	""	""	"AP00008611"	20	4.3	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025446"	""	""	32634	""	""	""	"AP00008840"	19	7	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025559"	""	""	42725.7	""	""	""	"AP00008826"	20	8.7	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025094"	""	""	24708.6	""	""	""	"AP00008385"	19	5.3	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026012"	""	""	26995	""	""	""	"AP00008166"	22	5	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025311"	""	""	279506.23	""	""	""	"AP00008818"	22	51.77	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025274"	""	""	37091.13	""	""	""	"AP00008786"	22	6.87	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025038"	""	""	56149.6	""	""	""	"AP00008589"	22	10.4	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026103"	""	""	43462.35	""	""	""	"AP00008505"	20	8.85	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025349"	""	""	10314	""	""	""	"AP00008849"	21	2	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025502"	""	""	25046.1	""	""	""	"AP00008972"	20	5.1	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025201"	""	""	99803.6	""	""	""	"AP00008723"	18	22.58	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024926"	""	""	111165.41	""	""	""	"AP00008494"	22	20.59	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025361"	""	""	73899.81	""	""	""	"AP00008859"	21	14.33	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025266"	""	""	137949.99	""	""	""	"AP00008780"	20	28.09	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025513"	""	""	269896.01	""	""	""	"AP00008979"	22	49.99	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025797"	""	""	155384.46	""	""	""	"AP00009217"	19	33.33	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024862"	""	""	387540.22	""	""	""	"AP00008440"	22	71.78	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025488"	""	""	996655.4	""	""	""	"AP00008962"	22	184.6	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024822"	""	""	26995	""	""	""	"AP00008407"	22	5	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025015"	""	""	46377.41	""	""	""	"AP00008569"	22	8.59	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025585"	""	""	145463.82	""	""	""	"AP00009040"	20	29.62	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025244"	""	""	216499.9	""	""	""	"AP00008760"	22	40.1	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025286"	""	""	23755.6	""	""	""	"AP00008797"	22	4.4	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024832"	""	""	354083.1	""	""	""	"AP00008416"	20	72.1	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025299"	""	""	28776.67	""	""	""	"AP00008808"	22	5.33	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025504"	""	""	211640.8	""	""	""	"AP00008354"	22	39.2	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024820"	""	""	37349	""	""	""	"AP00008406"	18	8.45	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025599"	""	""	11794.86	""	""	""	"AP00009054"	19	2.53	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025898"	""	""	36011.33	""	""	""	"AP00009302"	22	6.67	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025358"	""	""	9183.57	""	""	""	"AP00008856"	20	1.87	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025872"	""	""	49507.2	""	""	""	"AP00009278"	21	9.6	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025229"	""	""	15765.08	""	""	""	"AP00008746"	22	2.92	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024810"	""	""	53990	""	""	""	"AP00008396"	22	10	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026119"	""	""	24505.89	""	""	""	"AP00008278"	20	4.99	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025256"	""	""	52910.2	""	""	""	"AP00008770"	22	9.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025096"	""	""	77790.24	""	""	""	"AP00008636"	20	15.84	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024798"	""	""	51282	""	""	""	"AP00008385"	19	11	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025141"	""	""	675576.87	""	""	""	"AP00008676"	22	125.13	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024792"	""	""	91189.11	""	""	""	"AP00008379"	22	16.89	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024831"	""	""	30450.36	""	""	""	"AP00008415"	22	5.64	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025407"	""	""	46850.94	""	""	""	"AP00008901"	20	9.54	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025589"	""	""	52910.2	""	""	""	"AP00009044"	22	9.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026167"	""	""	58932	""	""	""	"AP00009526"	20	12	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025135"	""	""	53936.01	""	""	""	"AP00008606"	22	9.99	""	""	""	""
